Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,DIS,GOOGL,JPM,META,MS,MSFT,NVDA,TSLA,V,AAPL,AMZN,DIS,GOOGL,JPM,META,MS,MSFT,NVDA,TSLA,V,AAPL,AMZN,DIS,GOOGL,JPM,META,MS,MSFT,NVDA,TSLA,V,AAPL,AMZN,DIS,GOOGL,JPM,META,MS,MSFT,NVDA,TSLA,V,AAPL,AMZN,DIS,GOOGL,JPM,META,MS,MSFT,NVDA,TSLA,V
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02,242.52516174316406,220.22000122070312,109.60782623291016,188.55825805664062,233.96939086914062,597.3563232421875,120.7157211303711,414.5685729980469,138.26467895507812,379.2799987792969,311.5402526855469,247.74663833648884,225.14999389648438,110.97272877370663,191.11643850843902,237.16697135432236,603.0084829766075,123.13429226178867,421.98681399014663,138.83449951090427,392.7300109863281,316.77222528673946,240.50619200781614,218.19000244140625,108.96493456628087,186.63714698089748,233.43320803999086,585.9722382113614,120.16428720764362,410.87433837182135,134.58589206435911,373.0400085449219,309.56836314198955,247.57754859678104,222.02999877929688,110.47819788336757,189.7726449747486,234.8662717490942,587.8662291946306,122.38937560090514,421.4519805555425,135.9554382894446,390.1000061035156,314.88951348615774,55740700,33956600,5688100,20370800,9220900,12682300,5014300,16896500,198247200,109710700,5369500
2025-01-03,242.03781127929688,224.19000244140625,109.9441146850586,190.9073944091797,237.1669921875,602.7294311523438,121.83794403076172,419.2928771972656,144.4226837158203,410.44000244140625,312.0456237792969,242.853348279154,225.36000061035156,110.31995545721965,192.32087307336826,238.72679421379274,607.5841180897974,121.89598737715065,419.96635323692743,144.85253555834646,411.8800048828125,313.0464466292302,240.57579666249651,221.6199951171875,108.97483078872155,189.10572628313417,234.22287292867537,594.5352379868413,120.0385264837704,415.51939233739597,139.68423069189672,379.45001220703125,309.17200784502637,242.03781127929688,222.50999450683594,110.15181676014308,190.489329030918,237.76166503654449,602.8590273821567,121.55738888839281,417.0446121521978,139.96413776465596,381.4800109863281,311.3222528766725,40244100,27515600,5393100,18596200,9491100,11436800,3988400,16662900,229322500,95423300,4271300
2025-01-06,243.6688995361328,227.61000061035156,109.83531951904297,195.9640350341797,236.0106964111328,628.2190551757812,124.44998931884766,423.7497863769531,149.38104248046875,411.04998779296875,310.192626953125,245.98624232017474,228.83999633789062,111.61562629000218,197.30782865396526,240.75344450075482,629.0065500033512,125.71731816639294,430.15778356293015,152.11015917129038,426.42999267578125,312.5212576287812,241.8786760145675,224.83999633789062,109.65728808735275,192.95794346331456,235.74611723420682,603.7163023778119,123.47288456401034,421.4025036603563,147.77158452702758,401.70001220703125,309.231448769556,242.9826459215422,226.77999877929688,110.2507236776725,193.0873348986171,238.80342344864087,609.9068039022728,123.47288456401034,423.8983428352595,148.5413213081193,423.20001220703125,312.1447092335696,45045600,31849800,6274400,29563600,9917800,14560800,6665200,20573600,265377400,85516500,6567300
2025-01-07,240.89407348632812,222.11000061035156,110.17159271240234,194.59039306640625,238.2840576171875,615.9476928710938,122.74732208251953,418.322265625,140.09408569335938,394.3599853515625,308.8351135253906,244.215923537777,228.3800048828125,112.49588642085259,200.0750314967655,240.33206029657904,630.112985152474,125.43677943928127,426.52291408196885,153.07983530547875,414.3299865722656,312.3230852897886,240.0387452815234,221.4600067138672,110.07268804211688,193.70448930563006,236.0596638477121,606.3180247667793,121.3735754213182,416.76730426764124,139.9641234037018,390.0,308.48829102063627,241.6598791297847,227.89999389648438,110.92328178926861,196.20293323603758,237.2747542889821,629.7142790484268,125.42709570700084,424.8887326935554,152.97986196669754,405.8299865722656,310.0440178128232,40856000,28084200,7878800,26487200,8753400,12071500,7268800,18139100,351782200,75699500,4958600
2025-01-08,241.3813934326172,222.1300048828125,108.5594253540039,193.05746459960938,238.244873046875,608.8002319335938,123.69540405273438,420.49127197265625,140.06410217285156,394.94000244140625,309.75665283203125,242.3859157551251,223.52000427246094,109.89465727571495,195.38669258245946,239.3423644677141,614.5022833089956,123.83084344728337,422.87817962096636,143.90284057175748,402.5,311.1835572709654,238.74579711055483,220.1999969482422,107.45167342071821,191.49469743094454,235.66771199379835,600.895166417742,121.66380575360607,417.50022470253026,137.51493447299714,387.3999938964844,307.3883773257462,240.605632433071,223.19000244140625,109.78585987396625,191.683825506133,237.8725034781478,611.4718611566152,122.77634996388144,419.40180766065134,142.5332942493383,392.95001220703125,308.1712000954382,37628900,25033300,7805300,24864800,8675300,10085800,5744500,15054600,227349900,73038800,5161600
2025-01-10,235.56317138671875,218.94000244140625,107.4615707397461,191.15625,235.05035400390625,613.924072265625,119.42903900146484,414.93505859375,135.86549377441406,394.739990234375,304.9111328125,238.85518532841934,221.7100067138672,109.33089701914247,195.61564455345277,238.91119107182027,627.9298948978874,122.37969872141356,420.63983782074297,139.87417502688794,399.2799987792969,309.0134908488646,231.73408283180441,216.5,106.44283824891498,189.4342154897214,233.9430689471917,595.462329972656,119.27425428778686,411.042698272716,134.17604480086774,377.2900085449219,303.2067763235751,238.70599119102164,221.4600067138672,108.79680271846594,193.40585949210492,238.2056566354401,608.112442272843,122.19588495433348,420.56061778951556,137.40498271998055,391.3999938964844,308.36940914595635,61710900,36811500,8835500,26665200,10256800,19256600,6873800,20201100,207602500,62287300,6660100
2025-01-13,233.12649536132812,218.4600067138672,106.8978042602539,190.1309814453125,239.30316162109375,606.4177856445312,119.95145416259766,413.1919250488281,133.1863555908203,403.30999755859375,304.1282958984375,233.39503269669683,219.39999389648438,107.42200582213037,190.3001972959748,239.62651786311784,607.0557276203978,120.25136200789015,414.48936844362913,133.4462801889749,403.7900085449219,304.1282958984375,228.47192915300568,216.47000122070312,105.55267956950455,186.49778453538255,234.1978381518702,596.5688376806378,118.46161343018473,408.3388895039501,129.4675728747113,380.07000732421875,301.07629437396605,232.2612269401141,218.05999755859375,106.7494434767557,189.19532001022134,234.85437423024973,605.1916106669787,118.46161343018473,411.2606004893305,129.94742663109315,383.2099914550781,302.2257467444819,49630700,27262700,6690200,21823700,10005300,10785000,5433000,17604800,204808900,67580500,9568400
2025-01-14,232.01258850097656,217.75999450683594,106.93736267089844,188.78720092773438,242.4976806640625,592.3820190429688,120.56094360351562,411.6864929199219,131.71682739257812,396.3599853515625,306.278564453125,234.8371551382162,221.82000732421875,107.76817094638265,191.09651654383717,242.7426575092032,603.586677198732,121.3155366605616,415.7174656234234,136.33532416409136,422.6400146484375,307.33883916631174,231.20699165927476,216.1999969482422,106.43293904881585,187.44340746260227,237.3237708908667,586.6999244030517,119.66123479375455,406.783918522941,130.00739616366573,394.5400085449219,304.72283765788785,233.47460320476435,220.44000244140625,107.49123485455458,190.3599316953501,237.78432855590725,603.1680144738151,121.3155366605616,413.80596878606093,136.00543044799826,414.3399963378906,305.94166066613013,39435300,24711700,5501600,17174900,12407400,13598000,8999900,16935900,195590500,84565000,5107600
